# Append-only run log. Wall-clock start/finish for every generation run, newest at the bottom.
# Written automatically by the chain scripts. For a grouped view of what each file contains,
# see RESULTS_INDEX.md (regenerate with `.venv/bin/python src/make_index.py`).
#
# finished | condition | output | settings | rows | started -> finished
2026-09-07T05:18 | warned_anchor  | results/warned_anchor.jsonl  | cap=18000 n=20x3 | rows=60 truncated=0 | backstop stage 1
2026-09-07T05:32 | warned_values  | results/warned_values.jsonl  | cap=18000 n=20x3 | rows=60 truncated=0 | backstop stage 1
2026-09-07T14:40 | steer_dm       | results/steer_dm.jsonl       | cap=18000 n=12 4 arms | rows=324 | backstop stage 2
2026-09-08T01:14 | naked x10      | results/naked_hi10.jsonl     | cap=18000 n=20x3 scale=10 | rows=60
2026-09-08T01:23 | naked /1000    | results/naked_lo1000.jsonl   | cap=18000 n=20x3 scale=0.001 | rows=60
2026-09-08T01:28 | naked x1000    | results/naked_hi1000.jsonl   | cap=18000 n=20x3 scale=1000 | rows=60
2026-09-08T05:29:49+05:30 | neutral_T | results/neutral_T_26k.jsonl | cap=26000 n=20x3 | rows=60 truncated=0 | started=2026-09-08T04:01:29+05:30 finished=2026-09-08T05:29:49+05:30
2026-09-08T08:39:43+05:30 | above_good | results/above_good_26k.jsonl | cap=26000 n=20x3 | rows=60 truncated=0 | started=2026-09-08T07:13:40+05:30 finished=2026-09-08T08:39:43+05:30
2026-09-08T12:06:05+05:30 | 9B gate naked_number | results/gate9b_naked_number.jsonl | model=Qwen/Qwen3.5-9B cap=16000 n=20x3 | rows=60 truncated=0 | started=2026-09-08T11:44:53+05:30
2026-09-08T12:38:30+05:30 | 9B gate baseline | results/gate9b_baseline.jsonl | model=Qwen/Qwen3.5-9B cap=16000 n=20x3 | rows=60 truncated=0 | started=2026-09-08T12:06:05+05:30
2026-09-10T09:03:00+05:30 | position sweep, commitment point | results/sweep_rev{1,5,6}.jsonl | model=Qwen/Qwen3.5-35B-A3B-FP8 cap=18000 batch=6 n=15x2x3 | rows=90 truncated=0 | started=2026-09-10T07:35:00+05:30
2026-09-10T15:27:49+05:30 | precise numeral bridge 26,143,882 | results/precise_bridge.jsonl | model=Qwen/Qwen3.5-35B-A3B-FP8 cap=18000 n=20 numerals=bridge=26143882 | rows=20 truncated=0 | started=2026-09-10T14:52:17+05:30
2026-09-10T15:28:34+05:30 | precise numeral tbc 1,106 | results/precise_tbc.jsonl | model=Qwen/Qwen3.5-35B-A3B-FP8 cap=18000 n=20 numerals=tbc=1106 | rows=20 truncated=0 | started=2026-09-10T14:57:05+05:30
