layer,question,condition,proj
6,bridge,baseline,1.5801827907562256
6,bridge,neutral_T,2.66206955909729
6,bridge,above_good,2.6466169357299805
6,bridge,below_good,2.658704996109009
6,bridge,warned_anchor,2.8027992248535156
6,bridge,warned_values,2.821533441543579
6,bridge,warned_placebo,2.9447107315063477
6,crochet,baseline,1.4171645641326904
6,crochet,neutral_T,2.5006160736083984
6,crochet,above_good,2.413132429122925
6,crochet,below_good,2.4179985523223877
6,crochet,warned_anchor,2.612487316131592
6,crochet,warned_values,2.612764358520508
6,crochet,warned_placebo,2.737999439239502
6,giraffes,baseline,1.2019497156143188
6,giraffes,neutral_T,2.4276835918426514
6,giraffes,above_good,2.429128408432007
6,giraffes,below_good,2.412536144256592
6,giraffes,warned_anchor,2.6637020111083984
6,giraffes,warned_values,2.6381912231445312
6,giraffes,warned_placebo,2.76788330078125
6,maiden,baseline,1.6365400552749634
6,maiden,neutral_T,2.892554521560669
6,maiden,above_good,2.8029439449310303
6,maiden,below_good,2.832504987716675
6,maiden,warned_anchor,2.958103656768799
6,maiden,warned_values,2.951331377029419
6,maiden,warned_placebo,3.065349817276001
6,orangecars,baseline,1.1469799280166626
6,orangecars,neutral_T,2.4308619499206543
6,orangecars,above_good,2.345791816711426
6,orangecars,below_good,2.3610920906066895
6,orangecars,warned_anchor,2.5433802604675293
6,orangecars,warned_values,2.577744483947754
6,orangecars,warned_placebo,2.715611457824707
6,tbc,baseline,1.1010571718215942
6,tbc,neutral_T,2.388444423675537
6,tbc,above_good,2.38814640045166
6,tbc,below_good,2.37013840675354
6,tbc,warned_anchor,2.643120288848877
6,tbc,warned_values,2.6663427352905273
6,tbc,warned_placebo,2.7388861179351807
6,turns,baseline,1.9903843402862549
6,turns,neutral_T,2.983701705932617
6,turns,above_good,2.9535703659057617
6,turns,below_good,2.96455979347229
6,turns,warned_anchor,3.040492534637451
6,turns,warned_values,3.083976984024048
6,turns,warned_placebo,3.1529948711395264
6,windowdays,baseline,1.5591470003128052
6,windowdays,neutral_T,2.863058567047119
6,windowdays,above_good,2.8383665084838867
6,windowdays,below_good,2.796746015548706
6,windowdays,warned_anchor,3.080745220184326
6,windowdays,warned_values,3.03859543800354
6,windowdays,warned_placebo,3.0915894508361816
6,zills,baseline,1.3475942611694336
6,zills,neutral_T,2.5584964752197266
6,zills,above_good,2.5188510417938232
6,zills,below_good,2.535501718521118
6,zills,warned_anchor,2.770203113555908
6,zills,warned_values,2.7972450256347656
6,zills,warned_placebo,2.831120252609253
11,bridge,baseline,-5.3763933181762695
11,bridge,neutral_T,-3.4851322174072266
11,bridge,above_good,-3.4502415657043457
11,bridge,below_good,-3.5165927410125732
11,bridge,warned_anchor,-3.0433552265167236
11,bridge,warned_values,-3.095876932144165
11,bridge,warned_placebo,-3.170344352722168
11,crochet,baseline,-5.6914777755737305
11,crochet,neutral_T,-3.7325565814971924
11,crochet,above_good,-3.76374888420105
11,crochet,below_good,-3.7835450172424316
11,crochet,warned_anchor,-3.336052894592285
11,crochet,warned_values,-3.4084815979003906
11,crochet,warned_placebo,-3.4360828399658203
11,giraffes,baseline,-5.679030418395996
11,giraffes,neutral_T,-3.7894370555877686
11,giraffes,above_good,-3.7636070251464844
11,giraffes,below_good,-3.7917826175689697
11,giraffes,warned_anchor,-3.3240039348602295
11,giraffes,warned_values,-3.4120850563049316
11,giraffes,warned_placebo,-3.3129448890686035
11,maiden,baseline,-4.792416572570801
11,maiden,neutral_T,-2.654949188232422
11,maiden,above_good,-2.770641565322876
11,maiden,below_good,-2.796518564224243
11,maiden,warned_anchor,-2.374940872192383
11,maiden,warned_values,-2.4874541759490967
11,maiden,warned_placebo,-2.6177124977111816
11,orangecars,baseline,-5.398276329040527
11,orangecars,neutral_T,-3.2310967445373535
11,orangecars,above_good,-3.328927516937256
11,orangecars,below_good,-3.315295696258545
11,orangecars,warned_anchor,-2.9314162731170654
11,orangecars,warned_values,-2.954332113265991
11,orangecars,warned_placebo,-2.9907937049865723
11,tbc,baseline,-5.874121189117432
11,tbc,neutral_T,-3.897150993347168
11,tbc,above_good,-3.915663719177246
11,tbc,below_good,-3.958394765853882
11,tbc,warned_anchor,-3.5214028358459473
11,tbc,warned_values,-3.5380048751831055
11,tbc,warned_placebo,-3.5925023555755615
11,turns,baseline,-4.323943138122559
11,turns,neutral_T,-2.7562031745910645
11,turns,above_good,-2.836150646209717
11,turns,below_good,-2.8385207653045654
11,turns,warned_anchor,-2.57440447807312
11,turns,warned_values,-2.570444107055664
11,turns,warned_placebo,-2.6662449836730957
11,windowdays,baseline,-5.374946594238281
11,windowdays,neutral_T,-3.2960829734802246
11,windowdays,above_good,-3.2956974506378174
11,windowdays,below_good,-3.3764617443084717
11,windowdays,warned_anchor,-2.857029914855957
11,windowdays,warned_values,-2.9351143836975098
11,windowdays,warned_placebo,-3.0306220054626465
11,zills,baseline,-5.828972816467285
11,zills,neutral_T,-3.912491798400879
11,zills,above_good,-3.967921018600464
11,zills,below_good,-3.9639241695404053
11,zills,warned_anchor,-3.492915391921997
11,zills,warned_values,-3.5202388763427734
11,zills,warned_placebo,-3.634342670440674
16,bridge,baseline,-1.7399102449417114
16,bridge,neutral_T,0.806138277053833
16,bridge,above_good,0.7839753031730652
16,bridge,below_good,0.7020208835601807
16,bridge,warned_anchor,1.4409599304199219
16,bridge,warned_values,1.3490545749664307
16,bridge,warned_placebo,1.1102226972579956
16,crochet,baseline,-1.9720057249069214
16,crochet,neutral_T,0.6868636608123779
16,crochet,above_good,0.5628452301025391
16,crochet,below_good,0.5599108934402466
16,crochet,warned_anchor,1.1817443370819092
16,crochet,warned_values,1.0280990600585938
16,crochet,warned_placebo,0.8224074244499207
16,giraffes,baseline,-1.844761848449707
16,giraffes,neutral_T,0.699877917766571
16,giraffes,above_good,0.7166586518287659
16,giraffes,below_good,0.6299257874488831
16,giraffes,warned_anchor,1.4068455696105957
16,giraffes,warned_values,1.303473949432373
16,giraffes,warned_placebo,1.2337572574615479
16,maiden,baseline,-0.6822448372840881
16,maiden,neutral_T,2.1143746376037598
16,maiden,above_good,1.9825177192687988
16,maiden,below_good,1.8947211503982544
16,maiden,warned_anchor,2.551863670349121
16,maiden,warned_values,2.4046578407287598
16,maiden,warned_placebo,2.116868019104004
16,orangecars,baseline,-1.3931924104690552
16,orangecars,neutral_T,1.4803667068481445
16,orangecars,above_good,1.2665150165557861
16,orangecars,below_good,1.2600574493408203
16,orangecars,warned_anchor,1.8221886157989502
16,orangecars,warned_values,1.8130278587341309
16,orangecars,warned_placebo,1.5506128072738647
16,tbc,baseline,-2.0429325103759766
16,tbc,neutral_T,0.541536808013916
16,tbc,above_good,0.45435768365859985
16,tbc,below_good,0.43786925077438354
16,tbc,warned_anchor,1.1001970767974854
16,tbc,warned_values,1.109867811203003
16,tbc,warned_placebo,0.7949806451797485
16,turns,baseline,-0.4886504113674164
16,turns,neutral_T,1.6699728965759277
16,turns,above_good,1.563795804977417
16,turns,below_good,1.5707823038101196
16,turns,warned_anchor,1.9783062934875488
16,turns,warned_values,2.014462947845459
16,turns,warned_placebo,1.717864751815796
16,windowdays,baseline,-0.9540784955024719
16,windowdays,neutral_T,1.7700458765029907
16,windowdays,above_good,1.6622672080993652
16,windowdays,below_good,1.583430528640747
16,windowdays,warned_anchor,2.172487735748291
16,windowdays,warned_values,2.1162242889404297
16,windowdays,warned_placebo,1.7825740575790405
16,zills,baseline,-1.8318188190460205
16,zills,neutral_T,0.6957011222839355
16,zills,above_good,0.5835478901863098
16,zills,below_good,0.5671198964118958
16,zills,warned_anchor,1.3002002239227295
16,zills,warned_values,1.3612329959869385
