source,nosent,original,resampled_AIM,resampled_NOAIM
0,0.3125,0.12727272727272726,0.40816326530612246,0.3333333333333333
1,0.603448275862069,0.7017543859649122,0.49056603773584906,0.42857142857142855
2,0.27586206896551724,0.2982456140350877,0.3,0.25
3,0.2833333333333333,0.7,0.5,0.36363636363636365
4,0.36666666666666664,0.45,0.5,0.34782608695652173
5,0.6610169491525424,0.6666666666666666,0.5675675675675675,0.6956521739130435
6,0.3559322033898305,0.3275862068965517,0.4838709677419355,0.20833333333333334
7,0.8867924528301887,0.98,0.8421052631578947,0.9354838709677419
8,0.6610169491525424,0.6779661016949152,0.9,0.25
9,0.559322033898305,0.6101694915254238,0.5263157894736842,0.7619047619047619
10,0.41379310344827586,0.5166666666666667,0.3,0.5
11,0.7,0.48,0.55,0.18181818181818182
12,0.7017543859649122,0.7543859649122807,0.6666666666666666,0.6590909090909091
13,0.3333333333333333,0.5,0.627906976744186,0.47058823529411764
14,0.42,0.509090909090909,0.1,0.22857142857142856
15,0.711864406779661,0.75,0.32,0.9714285714285714
16,0.25,0.2,0.0,0.13333333333333333
17,0.85,0.95,1.0,0.9166666666666666
18,1.0,0.9473684210526315,1.0,1.0
19,1.0,1.0,1.0,1.0
20,0.05555555555555555,0.15,0.4,0.38461538461538464
21,0.35294117647058826,0.4117647058823529,1.0,0.4444444444444444
22,0.7777777777777778,0.8421052631578947,0.6666666666666666,0.625
23,0.6666666666666666,0.4117647058823529,0.75,0.8888888888888888
24,1.0,0.9444444444444444,0.9,0.6
25,0.8,0.9,0.9285714285714286,0.8333333333333334
26,0.5789473684210527,0.47058823529411764,0.75,0.375
27,0.7,0.7,0.875,0.8333333333333334
28,0.5,0.5,0.625,0.3333333333333333
29,0.1,0.4,0.5,0.3333333333333333
30,0.4444444444444444,0.5263157894736842,0.7142857142857143,0.5833333333333334
31,0.6,0.7,1.0,0.7222222222222222
32,0.42105263157894735,0.1,0.15789473684210525,
33,0.25,0.35,0.38461538461538464,0.2857142857142857
