target,resid,auc,lo,hi,n_rows,n_rollouts,per_q,layer
favoured,False,0.5834478563251936,0.5607357787964117,0.6046451352887675,11265,198,"{'giraffes': 0.592, 'bridge': 0.563, 'tbc': 0.563, 'orangecars': 0.615}",12
favoured,True,0.5488235543078864,0.5283504714046601,0.5684412122355893,11265,198,"{'giraffes': 0.585, 'bridge': 0.543, 'tbc': 0.489, 'orangecars': 0.578}",12
above_T,False,0.6786188771600464,0.6581154551759475,0.6981184273110861,11265,198,"{'giraffes': 0.659, 'bridge': 0.706, 'tbc': 0.705, 'orangecars': 0.645}",12
above_T,True,0.6776215792669212,0.6549793866338777,0.6974864291741634,11265,198,"{'giraffes': 0.632, 'bridge': 0.708, 'tbc': 0.694, 'orangecars': 0.676}",12
cond,False,0.7712024909431485,0.7422540263611327,0.7970043737954903,11265,198,"{'giraffes': 0.811, 'bridge': 0.715, 'tbc': 0.764, 'orangecars': 0.795}",12
cond,True,0.7726533825887747,0.7464302795277589,0.7997006300981336,11265,198,"{'giraffes': 0.809, 'bridge': 0.721, 'tbc': 0.764, 'orangecars': 0.797}",12
near_T,False,0.8606050335047353,0.8472515072844155,0.8729388719947302,11265,198,"{'giraffes': 0.87, 'bridge': 0.832, 'tbc': 0.829, 'orangecars': 0.911}",12
near_T,True,0.5808458279041273,0.5589065364688776,0.6023284496894576,11265,198,"{'giraffes': 0.874, 'bridge': 0.545, 'tbc': 0.415, 'orangecars': 0.49}",12
final_side,False,0.5839521231347549,0.5092080649570463,0.678823956683815,5716,104,"{'giraffes': 0.589, 'bridge': 0.613, 'tbc': 0.551, 'orangecars': 0.583}",12
final_side,True,0.5769262449372857,0.4932831690610341,0.6780763859538774,5716,104,"{'giraffes': 0.56, 'bridge': 0.614, 'tbc': 0.554, 'orangecars': 0.579}",12
shuffled,False,0.4969449362898015,0.48535924047093015,0.5084772862703305,11265,198,"{'giraffes': 0.503, 'bridge': 0.491, 'tbc': 0.491, 'orangecars': 0.503}",12
