layer,target,auc,n_folds,n
0,favoured,0.5060784504285825,4,5508
0,above_T,0.48083754635742004,4,5508
0,cond,0.5142546400577597,4,5508
0,shuffled,0.5102087510262847,4,5508
4,favoured,0.5000614966493852,4,5508
4,above_T,0.46269744971214927,4,5508
4,cond,0.5176890414868576,4,5508
4,shuffled,0.5020745675908365,4,5508
8,favoured,0.5082977785899383,4,5508
8,above_T,0.552892469254002,4,5508
8,cond,0.5899515417298046,4,5508
8,shuffled,0.49351167538869,4,5508
12,favoured,0.5443368436135412,4,5508
12,above_T,0.685734721125181,4,5508
12,cond,0.6871673122465706,4,5508
12,shuffled,0.5023409946085533,4,5508
16,favoured,0.5683802873733835,4,5508
16,above_T,0.778749202384407,4,5508
16,cond,0.6484242813130721,4,5508
16,shuffled,0.4904105610263437,4,5508
20,favoured,0.5526365150628447,4,5508
20,above_T,0.7509264075161528,4,5508
20,cond,0.5959748305485374,4,5508
20,shuffled,0.5012432734703471,4,5508
24,favoured,0.5184763800413261,4,5508
24,above_T,0.6888105913945686,4,5508
24,cond,0.5534402726359584,4,5508
24,shuffled,0.5128891063504131,4,5508
28,favoured,0.5250255296504299,4,5508
28,above_T,0.6122269576309567,4,5508
28,cond,0.529324267891017,4,5508
28,shuffled,0.5097486482969313,4,5508
29,favoured,0.5287290967943381,4,5508
29,above_T,0.6168410211378699,4,5508
29,cond,0.5114933247095026,4,5508
29,shuffled,0.5038367572531248,4,5508
30,favoured,0.5236872985121629,4,5508
30,above_T,0.6060516722858925,4,5508
30,cond,0.5136100504368377,4,5508
30,shuffled,0.505365196606638,4,5508
31,favoured,0.525132639706144,4,5508
31,above_T,0.6093157343056983,4,5508
31,cond,0.5104531478452123,4,5508
31,shuffled,0.5068507677013826,4,5508
